episode,train_return_mean,train_social_welfare,eval_return_mean,eval_social_welfare
1,17.71382564554612,53.141476936638355,nan,nan
2,51.21584581583738,153.64753744751215,nan,nan
3,71.87328048547108,215.61984145641327,nan,nan
4,-14.44554623379372,-43.33663870138116,nan,nan
5,64.29685425758362,192.89056277275085,nan,nan
6,12.25632076834639,36.76896230503917,nan,nan
7,-36.68795218567053,-110.0638565570116,nan,nan
8,42.33058273792267,126.991748213768,nan,nan
9,-26.06472735727827,-78.1941820718348,nan,nan
10,6.652013803521792,19.956041410565376,nan,nan
11,-19.245034635066986,-57.73510390520096,nan,nan
12,-32.35520959893862,-97.06562879681587,nan,nan
13,-76.00969898452361,-228.02909695357084,nan,nan
14,41.232284451524414,123.69685335457325,nan,nan
15,-57.48051096498966,-172.441532894969,nan,nan
16,22.758994554479916,68.27698366343975,nan,nan
17,24.011844165623188,72.03553249686956,nan,nan
18,77.55675938228767,232.67027814686298,nan,nan
19,133.41330091158548,400.23990273475647,nan,nan
20,120.33158842722575,360.99476528167725,nan,nan
21,75.91080137093861,227.73240411281586,nan,nan
22,54.294848988453545,162.88454696536064,nan,nan
23,152.68526269992194,458.0557880997658,nan,nan
24,104.21866671244304,312.6560001373291,nan,nan
25,90.26702712103724,270.80108136311173,nan,nan
26,26.270548226932686,78.81164468079805,nan,nan
27,100.8200280914704,302.4600842744112,nan,nan
28,70.02729549010594,210.08188647031784,nan,nan
29,66.27297729626298,198.81893188878894,nan,nan
30,57.09202453494072,171.27607360482216,nan,nan
31,155.1300772447139,465.3902317341417,nan,nan
32,124.15161867005129,372.4548560101539,nan,nan
33,61.84413186709086,185.53239560127258,nan,nan
34,57.17812417820096,171.53437253460288,nan,nan
35,0.10600974162419637,0.3180292248725891,nan,nan
36,13.95984411239624,41.87953233718872,nan,nan
37,41.65313830412924,124.95941491238773,nan,nan
38,-53.63211259494225,-160.89633778482676,nan,nan
39,4.443451970815659,13.330355912446976,nan,nan
40,-52.209559723734856,-156.62867917120457,nan,nan
41,-0.8774584593872229,-2.6323753781616688,nan,nan
42,-41.802672773599625,-125.40801832079887,nan,nan
43,30.70186922947566,92.10560768842697,nan,nan
44,-47.6717320283254,-143.0151960849762,nan,nan
45,-28.429962320874136,-85.2898869626224,nan,nan
46,-13.224044382572174,-39.67213314771652,nan,nan
